'Tukija';'Tukijan y-tunnus/yhdistysrekisterinumero jos on';'Tukijan etunimet';'Tukijan sukunimi';'Tukijan kotikunta jos on';'Tukilahteen lomakenumerot';'Lainan nimi';'Lainan takaisinmaksuaika/laina-aika';'Tuen maara';'Tuen saajan etunimet';'Tuen saajan Sukunimi';'Vaalipiiri / Kunta';'Tuen saajan puolue'
'';'';'Kerttuli';'Harjanne';'Vantaa';'2.3';'';'';'1000,00';'Atte';'Harjanne';'Helsinki';'VIHR'
'Helsingin Vihreä seura ry';'3044460-6';'';'';'';'2.6';'';'';'3000,00';'Atte';'Harjanne';'Helsinki';'VIHR'
'Stiftelsen för det tvåspråkiga Finland sr';'1749439-3';'';'';'';'2.7';'';'';'3000,00';'Atte';'Harjanne';'Helsinki';'VIHR'
'Stiftelsen för det tvåspråkiga Finland';'1749439-3';'';'';'';'2.7';'';'';'1000,00';'Mari';'Holopainen';'Helsinki';'VIHR'
'Giggeli Oy';'3286661-8';'';'';'';'2.4';'';'';'850,00';'Isaac';'Jyväsjärvi';'Helsinki';'VIHR'
'';'';'Kari';'Koskinen';'Helsinki';'2.3';'';'';'3000,00';'Otso';'Kivekäs';'Helsinki';'VIHR'
'';'';'Teemu';'Kivimäki';'Helsinki';'2.3';'';'';'1000,00';'Otso';'Kivekäs';'Helsinki';'VIHR'
'';'';'';'';'';'2.2';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.3';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.3';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.4';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.4';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.5';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.5';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.6';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.6';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.7';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.7';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.8';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.8';'';'';'0,00';'Minna';'Lindgren';'Helsinki';'VIHR'
'';'';'';'';'';'2.2';'';'';'0,00';'Joanna';'Lukkarila';'Helsinki';'VIHR'
'';'';'Jaana Marja';'Pasanen';'Helsinki';'2.3';'';'';'1000,00';'Amanda';'Pasanen';'Helsinki';'VIHR'
'';'';'Ritva';'Rantanen';'Helsinki';'2.3';'';'';'3000,00';'Tuomas';'Rantanen';'Helsinki';'VIHR'
'';'';'Laura';'Lehtola';'Helsinki';'2.3';'';'';'1000,00';'Reetta';'Vanhanen';'Helsinki';'VIHR'
'';'';'Atanas';'Aleksovski';'';'2.3';'';'';'1000,00';'Eveliina';'Heinäluoma';'Helsinki';'SDP'
'';'';'Tauno';'Pesola';'';'2.3';'';'';'1000,00';'Eveliina';'Heinäluoma';'Helsinki';'SDP'
'Cosmopolis Oy';'2125555-5';'';'';'';'2.4';'';'';'1000,00';'Eveliina';'Heinäluoma';'Helsinki';'SDP'
'Suomen Sosialidemokraattinen Puolue';'0117005-2';'';'';'';'2.5';'';'';'3000,00';'Eveliina';'Heinäluoma';'Helsinki';'SDP'
'Teollisuusdemarien opintoyhdistys ry';'3038199-1';'';'';'';'2.7';'';'';'1000,00';'Eveliina';'Heinäluoma';'Helsinki';'SDP'
'Hyvä Suomi ry';'2076556-1';'';'';'';'2.7';'';'';'3000,00';'Eveliina';'Heinäluoma';'Helsinki';'SDP'
'Palkansaajien Opintoyhdistys ry';'3062006-7';'';'';'';'2.7';'';'';'2000,00';'Eveliina';'Heinäluoma';'Helsinki';'SDP'
'Stiftelsen för det tväspråkiga Finland';'1749439-3';'';'';'';'2.7';'';'';'1000,00';'Jonne';'Juntura';'Helsinki';'SDP'
'P4';'';'';'';'';'2.4';'';'';'3000,00';'Miapetra';'Kumpula-Natri';'Helsinki';'SDP'
'Tölö Unga Socialister';'';'';'';'';'2.6';'';'';'800,00';'Miapetra';'Kumpula-Natri';'Helsinki';'SDP'
'';'';'Kustaa';'Poutiainen';'Helsinki';'2.3';'';'';'1200,00';'Sami';'Kuusela';'Helsinki';'SDP'
'';'';'Paula';'Salovaara';'Helsinki';'2.3';'';'';'850,00';'Sami';'Kuusela';'Helsinki';'SDP'
'Suomen kunnantyöntekijänliitto';'2638688-8';'';'';'';'2.7';'';'';'800,00';'Johanna';'Laisaari';'Helsinki';'SDP'
'Raideammattilaisten yhteisjärjestö';'0213635-8';'';'';'';'2.7';'';'';'800,00';'Johanna';'Laisaari';'Helsinki';'SDP'
'';'';'Paula';'Salovaara';'';'2.3';'';'';'1550,00';'Nasima';'Razmyar';'Helsinki';'SDP'
'Palkansaajien Opintoyhdistys ry';'';'';'';'';'2.7';'';'';'2000,00';'Nasima';'Razmyar';'Helsinki';'SDP'
'Teollisuusdemarien Opintoyhdistys ry';'';'';'';'';'2.7';'';'';'1000,00';'Nasima';'Razmyar';'Helsinki';'SDP'
'Paperiliitto';'';'';'';'';'2.7';'';'';'1000,00';'Nasima';'Razmyar';'Helsinki';'SDP'
'Raideammattilaiset JHL ry:n vaalituki';'';'';'';'';'2.7';'';'';'800,00';'Nasima';'Razmyar';'Helsinki';'SDP'
'Suomen kunnantyöntekijöiden liitto';'';'';'';'';'2.7';'';'';'800,00';'Nasima';'Razmyar';'Helsinki';'SDP'
'Stiftelsen för det tvåspråkiga Finland';'';'';'';'';'2.7';'';'';'1000,00';'Nasima';'Razmyar';'Helsinki';'SDP'
